iter	Passed	Remaining
456	820	974
457	824	975
458	825	972
459	825	969
460	826	966
461	827	963
462	827	960
463	828	957
464	829	954
465	829	950
466	830	947
467	831	944
468	831	941
469	832	938
470	832	935
471	833	932
472	834	929
473	834	926
474	835	923
475	838	923
476	840	921
477	841	918
478	841	915
479	842	912
480	843	909
481	843	906
482	844	903
483	845	900
484	845	898
485	846	895
486	847	892
487	847	889
488	848	886
489	848	883
490	849	880
491	850	878
492	851	875
493	852	873
494	853	870
495	854	867
496	854	865
497	855	862
498	856	859
499	856	856
500	857	853
501	857	851
502	858	848
503	859	845
504	859	842
505	860	840
506	861	837
507	862	834
508	864	834
509	866	832
510	867	830
511	868	827
512	868	824
513	869	822
514	870	819
515	870	816
516	871	814
517	872	811
518	872	808
519	873	806
520	874	803
521	874	801
522	875	798
523	876	795
524	876	793
525	877	790
526	881	791
527	882	788
528	882	785
529	883	783
530	883	780
531	884	778
532	885	775
533	885	773
534	886	770
535	887	768
536	888	765
537	888	763
538	889	760
539	890	758
540	891	756
541	891	753
542	892	751
543	895	750
544	897	749
545	898	746
546	898	744
547	899	742
548	900	739
549	901	737
550	901	734
551	902	732
552	903	730
553	904	727
554	904	725
555	905	723
556	906	720
557	907	718
558	907	716
559	912	716
560	913	714
561	913	712
562	914	709
563	915	707
564	916	705
565	917	703
566	917	701
567	918	698
568	919	696
569	920	694
570	921	692
571	921	689
572	922	687
573	922	684
574	926	684
575	927	682
576	928	680
577	928	678
578	929	675
579	930	673
580	930	671
581	931	668
582	931	666
583	932	664
584	933	662
585	934	660
586	934	657
587	935	655
588	936	653
589	936	650
590	937	648
591	937	646
592	942	646
593	943	644
594	944	642
595	945	640
596	946	638
597	946	636
598	947	634
599	948	632
600	949	630
601	949	627
602	950	625
603	950	623
604	951	621
605	952	619
606	952	616
607	953	614
608	954	612
609	955	611
610	956	608
611	956	606
612	957	604
613	958	602
614	959	600
615	959	598
616	960	596
617	960	593
618	961	591
619	962	589
620	963	587
621	963	585
622	964	583
623	965	581
624	965	579
625	966	577
626	970	577
627	971	575
628	972	573
629	973	571
630	975	570
631	976	568
632	976	566
633	977	564
634	978	562
635	978	560
636	979	558
637	979	555
638	980	553
639	981	551
640	984	551
641	985	549
642	985	547
643	987	545
644	988	543
645	988	541
646	989	539
647	989	537
648	990	535
649	991	533
650	991	531
651	992	529
652	992	527
653	993	525
654	994	523
655	995	521
656	995	519
657	996	517
658	1000	517
659	1001	515
660	1001	513
661	1002	511
662	1003	509
663	1004	508
664	1004	506
665	1005	504
666	1006	502
667	1006	500
668	1007	498
669	1007	496
670	1008	494
671	1009	492
672	1010	490
673	1010	488
674	1014	488
675	1015	486
676	1016	484
677	1016	482
678	1017	481
679	1018	479
680	1019	477
681	1019	475
682	1020	473
683	1021	471
684	1022	470
685	1023	468
686	1024	466
687	1024	464
688	1025	462
689	1031	463
690	1032	461
691	1033	459
692	1033	458
693	1034	456
694	1035	454
695	1035	452
696	1036	450
697	1036	448
698	1037	446
699	1038	444
700	1038	443
701	1039	441
702	1040	439
703	1040	437
704	1041	435
705	1043	434
706	1044	433
707	1045	431
708	1046	429
709	1047	427
710	1047	425
711	1048	424
712	1049	422
713	1049	420
714	1050	418
715	1051	416
716	1051	415
717	1052	413
718	1053	411
719	1053	409
720	1054	408
721	1055	406
722	1055	404
723	1056	402
724	1057	401
725	1057	399
726	1058	397
727	1059	395
728	1059	393
729	1060	392
730	1060	390
731	1061	388
732	1062	386
733	1062	385
734	1063	383
735	1064	381
736	1064	379
737	1065	378
738	1065	376
739	1069	375
740	1070	374
741	1071	372
742	1072	370
743	1072	369
744	1073	367
745	1074	365
746	1074	363
747	1075	362
748	1075	360
749	1076	358
750	1077	357
751	1077	355
752	1078	353
753	1078	352
754	1079	350
755	1080	348
756	1080	346
757	1084	346
758	1085	344
759	1085	342
760	1086	341
761	1087	339
762	1087	337
763	1088	336
764	1089	334
765	1089	332
766	1090	331
767	1091	329
768	1091	327
769	1092	326
770	1093	324
771	1093	323
772	1094	321
773	1094	319
774	1095	318
775	1100	317
776	1101	315
777	1101	314
778	1102	312
779	1103	311
780	1104	309
781	1105	308
782	1106	306
783	1107	305
784	1108	303
785	1108	301
786	1109	300
787	1110	298
788	1110	297
789	1111	295
790	1116	295
791	1117	293
792	1118	291
793	1119	290
794	1119	288
795	1120	287
796	1121	285
797	1122	284
798	1123	282
799	1125	281
800	1126	279
801	1130	279
802	1133	278
803	1134	276
804	1135	274
805	1135	273
806	1136	271
807	1137	270
808	1137	268
809	1138	267
810	1139	265
811	1139	263
812	1140	262
813	1141	260
814	1141	259
815	1145	258
816	1146	256
817	1147	255
818	1148	253
819	1149	252
820	1150	250
821	1150	249
822	1151	247
823	1152	246
824	1152	244
825	1153	243
826	1154	241
827	1155	240
828	1156	238
829	1157	236
830	1160	236
831	1161	234
832	1162	233
833	1163	231
834	1164	230
835	1165	228
836	1165	227
837	1166	225
838	1167	224
839	1168	222
840	1169	221
841	1169	219
842	1170	217
843	1171	216
844	1171	214
845	1172	213
846	1176	212
847	1177	211
848	1178	209
849	1179	208
850	1180	206
851	1181	205
852	1183	203
853	1183	202
854	1184	200
855	1185	199
856	1186	197
857	1191	197
858	1193	195
859	1194	194
860	1195	193
861	1196	191
862	1197	190
863	1198	188
864	1199	187
865	1200	185
866	1200	184
867	1201	182
868	1202	181
869	1214	181
870	1215	180
871	1216	178
872	1217	177
873	1225	176
874	1229	175
875	1230	174
876	1232	172
877	1232	171
878	1233	169
879	1234	168
880	1242	167
881	1244	166
882	1244	164
883	1245	163
884	1246	161
885	1247	160
886	1248	159
887	1248	157
888	1249	156
889	1256	155
890	1258	153
891	1259	152
892	1260	151
893	1261	149
894	1261	148
895	1262	146
896	1263	145
897	1264	143
898	1264	142
899	1265	140
900	1273	139
901	1274	138
902	1276	137
903	1276	135
904	1277	134
905	1278	132
906	1278	131
907	1279	129
908	1280	128
909	1280	126
910	1286	125
911	1287	124
912	1288	122
913	1288	121
914	1289	119
915	1290	118
916	1291	116
917	1292	115
918	1293	113
919	1293	112
920	1294	111
921	1294	109
922	1295	108
923	1296	106
924	1302	105
925	1303	104
926	1303	102
927	1304	101
928	1305	99
929	1306	98
930	1307	96
931	1308	95
932	1308	93
933	1309	92
934	1310	91
935	1311	89
936	1316	88
937	1318	87
938	1319	85
939	1320	84
940	1321	82
941	1322	81
942	1322	79
943	1323	78
944	1324	77
945	1325	75
946	1326	74
947	1330	72
948	1332	71
949	1335	70
950	1336	68
951	1336	67
952	1338	65
953	1338	64
954	1339	63
955	1340	61
956	1341	60
957	1341	58
958	1345	57
959	1346	56
960	1347	54
961	1348	53
962	1349	51
963	1349	50
964	1350	48
965	1351	47
966	1352	46
967	1353	44
968	1353	43
969	1354	41
970	1354	40
971	1355	39
972	1356	37
973	1359	36
974	1360	34
975	1361	33
976	1362	32
977	1363	30
978	1363	29
979	1364	27
980	1365	26
981	1366	25
982	1367	23
983	1368	22
984	1368	20
985	1369	19
986	1369	18
987	1370	16
988	1371	15
989	1374	13
990	1375	12
991	1376	11
992	1377	9
993	1378	8
994	1379	6
995	1379	5
996	1380	4
997	1381	2
998	1382	1
999	1382	0
